,force
0.0,5.321246094953494
0.5,11.995422390446183
1.0,-26.148367851255067
1.5,-11.15640584254858
2.0,2.2643265141986504
2.5,-8.743285230935863
3.0,-0.8691286083430185
3.5,39.046407478509536
4.0,-6.069043359110765
4.5,-4.052106728508852
5.0,30.11322059898497
5.5,-15.816069710118327
6.0,-26.152523627281717
6.5,-0.891639061809304
7.0,-13.18797426790303
7.5,-30.971492242462972
8.0,29.825225320479877
8.5,21.15209766951747
9.0,-10.476590147856653
9.5,19.385777420841805
10.0,7.999990057470555
10.5,-16.38633453126873
11.0,12.17342813016584
11.5,-14.861626483135556
12.0,-45.176973638515335
12.5,-4.620495678538038
13.0,7.423722448729116
13.5,-18.845976746713557
14.0,19.02260877158172
14.5,18.713090036416553
15.0,-12.876204487389668
15.5,16.662012551391854
16.0,4.396816805927908
16.5,-29.117871837715455
17.0,-11.268958109876358
17.5,-0.01199980327099004
18.0,-5.549051884033815
18.5,-2.9130777831025085
19.0,11.7839972851948
19.5,5.920024157163983
20.0,31.568434836927594
20.5,7.945964969151646
21.0,-26.356964720045653
21.5,-10.314514882897324
22.0,-2.391960785353354
22.5,-22.546695296611034
23.0,-4.029596275043655
23.5,4.326976681070339
24.0,-12.403484964594632
24.5,25.507581819732945
25.0,28.2819086308143
25.5,-6.762365325879728
26.0,-12.68036354222989
26.5,2.3858829629188305
27.0,-5.75539770747658
27.5,-0.761828780151518
28.0,-0.8650016918731636
28.5,-10.445075513003234
29.0,5.073631106822177
29.5,12.096892588377637
30.0,-16.338312230542485
30.5,-14.59080841220132
31.0,22.712822443195655
31.5,-2.107203549001497
32.0,-2.119584298408574
32.5,-4.393515272752786
33.0,-3.559878146041532
33.5,-0.6035052574362698
34.0,11.631301375846721
34.5,-10.711824386582657
35.0,-8.743285230934362
35.5,14.609059195244368
36.0,-32.91812699531301
36.5,-17.162194827417913
37.0,6.7574130261183605
37.5,-6.97460674427839
38.0,-4.016090002960901
38.5,20.8425789343511
39.0,-2.9490945086496723
39.5,-8.520431741615692
40.0,19.786463492547202
40.5,-11.058485369965048
41.0,-20.480235668383102
41.5,17.05819653240269
42.0,-15.874596889131148
42.5,-35.8863900208764
43.0,22.658104725538024
43.5,6.25317886846717
44.0,-21.596754160323187
44.5,5.729810825373402
45.0,14.924205543777223
45.5,-16.25427320426661
46.0,14.569665901675823
46.5,-3.2957554920333623
47.0,-26.310443116215318
47.5,22.909529175022826
48.0,12.308490850961725
48.5,-20.826896651767697
